Item Code,UPC ID,Item Name,Grammage,MRP,Batch,Zone Identifier,Location,Entity Vendor,Quantity
10000360,8901071706834,Hershey's Chocolate Syrup(Bottle),623 g,245,,,,,
10000360,8901071706834,Hershey's Chocolate Syrup(Bottle),623 g,250,,,,,
10000364,8901088034593,Saffola Active Pro Weight Watchers Edible Oil(Pouch),1 l,197,,,,,
10000364,8901088034593,Saffola Active Pro Weight Watchers Edible Oil(Pouch),1 l,160,,,,,
10000364,8901088034593,Saffola Active Pro Weight Watchers Edible Oil(Pouch),1 l,185,,,,,
10000365,8901088034616,Saffola Active Pro Weight Watchers Edible Oil(Jar),5 l,805,,,,,
10000365,8901088034616,Saffola Active Pro Weight Watchers Edible Oil(Jar),5 l,925,,,,,
10000365,8901088034616,Saffola Active Pro Weight Watchers Edible Oil(Jar),5 l,985,,,,,
10000367,8901088068758,Saffola Masala Veggie Twist Oats(Pouch),38 g,18,,,,,
10000367,8901088068758,Saffola Masala Veggie Twist Oats(Pouch),38 g,17,,,,,
10000368,8901123005397,Lotte Choco Pie(Box),168 g,90,,,,,
10000370,8901138815431,Himalaya Purifying Neem Face Wash(Pack),150 ml,265,,,,,
10000370,8901138815431,Himalaya Purifying Neem Face Wash(Pack),150 ml,225,,,,,
10000370,8901138815431,Himalaya Purifying Neem Face Wash(Pack),150 ml,240,,,,,
10000374,8901138836108,Himalaya Complete Care Herbal Toothpaste,150 g,99,,,,,
10000375,8901157001143,Good Knight Power Activ+ Mosquito Repellent Refill(Refill),45 ml,80,,,,,
10000376,8901157025071,Hit Fresh Fragrance Cockroach Spray(Spray),200 ml,105,,,,,
10000379,8901192000200,Catch Sprinklers - Iodized Table Salt(Tin),200 g,50,,,,,
10000379,8901192000200,Catch Sprinklers - Iodized Table Salt(Tin),200 g,45,,,,,
10000380,8901192001207,Catch Sprinklers - Black Salt(Tin),200 g,47,,,,,
10000382,8901192205100,Catch Sprinklers - Chat Masala(Tin),100 g,90,,,,,
10000382,8901192205100,Catch Sprinklers - Chat Masala(Tin),100 g,85,,,,,
10000383,8901192216113,Catch Garam Masala,100 g,107,,,,,
10000383,8901192216113,Catch Garam Masala,100 g,105,,,,,
10000383,8901192216113,Catch Garam Masala,110 g,107,,,,,
10000384,8901207027352,Dabur Red Herbal Toothpaste 200 g,200 g,136,,,,,
10000384,8901207027321,Dabur Red Herbal Toothpaste 200 g,200 g,136,,,,,
10000384,8901207027321,Dabur Red Herbal Toothpaste 200 g,200 g,147,,,,,
10000384,8901207027321,Dabur Red Herbal Toothpaste 200 g,200 g,140,,,,,
10000384,8901207027321,Dabur Red Herbal Toothpaste 200 g,200 g,130,,,,,
10000387,8901207004407,Real Fruit Power Guava Juice,1 l,120,,,,,
10000388,8901207004421,Real Fruit Power Pomegranate Juice (1 l),1 l,130,,,,,
10000391,8901207006845,Pudin Hara Active Drops,30 ml,55,,,,,
10000399,7622202304040,Cadbury Cocoa Powder Mix,150.0 GM,325,,,,,
10000399,7622202031496,Cadbury Cocoa Powder Mix,150 g,275,,,,,
10000411,7622201149543,Cadbury Dairy Milk Crackle Chocolate Bar,36 g,45,,,,,
10000411,7622201149543,Cadbury Dairy Milk Crackle Chocolate Bar,36.0 GM,50,,,,,
10000412,7622201150181,Cadbury Dairy Milk Fruit & Nut Chocolate Bar,36.0 GM,50,,,,,
10000412,7622201150181,Cadbury Dairy Milk Fruit & Nut Chocolate Bar,36 g,45,,,,,
10000415,7622202290510,Cadbury Dairy Milk Silk Fruit & Nut Chocolate Bar(Pouch),137 GM,220,,,,,
10000415,7622201761561,Cadbury Dairy Milk Silk Fruit & Nut Chocolate Bar(Pouch),137 g,195,,,,,
10000415,7622202290510,Cadbury Dairy Milk Silk Fruit & Nut Chocolate Bar(Pouch),137.0 GM,195,,,,,
10000416,7622202030987,Cadbury Gems Surprise Shaped Chocolates Ball,15.8 g,50,,,,,
10000419,7622202030901,Cadbury Temptations Rum & Raisins Premium Chocolate Bar,72 g,120,,,,,
10000419,7622202294426,Cadbury Temptations Rum & Raisins Premium Chocolate Bar,70.0 GM,130,,,,,
10000419,7622202030901,Cadbury Temptations Rum & Raisins Premium Chocolate Bar,72 g,110,,,,,
10000420,7622202030871,Cadbury Temptations Almond Treat Premium Chocolate Bar,72 g,110,,,,,
10000420,7622202294334,Cadbury Temptations Almond Treat Premium Chocolate Bar,70.0 GM,130,,,,,
10000420,7622202030871,Cadbury Temptations Almond Treat Premium Chocolate Bar,72 g,120,,,,,
10000427,8904287001212,Bambino Premium Penne Pasta,250 g,70,,,,,
10000429,8901262010016,Amul Salted Butter,100 g,55,,,,,
10000429,8901262010016,Amul Salted Butter,100 g,60,,,,,
10000429,8901262010016,Amul Salted Butter,100 g,58,,,,,
10000430,8901262010023,Amul Salted Butter,500 g,295,,,,,
10000430,8901262010023,Amul Salted Butter,500 g,285,,,,,
10000431,8901262010344,Amul Garlic & Herbs Butter,100 g,60,,,,,
10000431,8901262010344,Amul Garlic & Herbs Butter,100 g,65,,,,,
10000432,8901262020015,Amul Pure Milk Cheese Slices,200 g,145,,,,,
10000433,8901262060011,Amul Yummy Plain Cheese Spread,200 g,140,,,,,
10000433,8901262060011,Amul Yummy Plain Cheese Spread,200 g,110,,,,,
10000434,8901262060028,Amul Spicy Garlic Cheese Spread,200 g,110,,,,,
10000436,8901262150064,Amul Taaza Homogenised Toned Milk(Tetra Pak),1 l,74,,,,,
10000437,8901262150378,Amul Slim 'n' Trim Skimmed Milk (Zero Cholesterol)(Tetra Pak),1l,80,,,,,
10000438,8901262150989,Amul Gold Milk(Tetra Pak),1 l,80,,,,,
